title,company,genre,year,rating,length,critic_score,number_of_critics,user_score,number_of_users,latitude,longitude,state_filmed
A Bed Regarding Truth,Light Box,Drama,2011,PG-13,94,84,84,63,1851,19.4430,-155.8536,Hawaii
A Diamond Without Respect,Course Universe,Horror,2001,R,79,20,15,48,1352,41.82787,-71.39857,Rhode Island
The Box Except Hunger,Course Universe,Fantasy,1998,G,105,45,93,52,2053,38.1529,-76.5094,Maryland
A Road Round Hate,Final Cost,Documentary,2010,PG-13,67,39,31,91,1303,31.85378,-84.08185,Georgia
The Tree Inside Time,Sound Circle,Documentary,1987,PG-13,113,62,65,17,181,37.8940,-116.7295,Nevada
A Moon Excluding Honor,Light Box,Action,1987,PG-13,97,22,37,9,1699,40.2874,-105.3500,Colorado
A Window Before Honor,Sound Circle,Comedy,2018,R,106,18,17,23,1791,43.05306,-83.65417,Michigan
A Girl Until Reality,Course Universe,Musical,1981,R,81,32,66,7,2037,42.9536,-74.37201,New York
A Dog Concerning Riches,Silent Vision,Science Fiction,2013,PG-13,118,55,54,51,2301,41.43259,-74.00014,New Jersey
The Helicopter Beyond Uncertainty,Light Box,Documentary,2001,R,110,22,78,5,704,40.63031,-87.88503,Illinois
A Lake During Humor,Minute Sand,Thriller,1991,G,107,86,87,84,756,38.21093,-81.62706,West Virginia
A Road Amid Feeling,Light Box,Thriller,1997,R,84,89,87,53,1527,47.6478,-123.0859,Washington
A Wall Before Feeling,Minute Sand,Fantasy,1976,PG-13,76,24,34,49,1843,37.9800,-122.3995,California
A Soul Of Worry,Huge Fish,Fantasy,2009,R,60,19,37,43,116,34.2933,-77.8678,North Carolina
A Tree Minus Pride,Minute Sand,Action,2014,PG-13,118,79,86,4,1755,31.6104,-97.2546,Texas
The Woman Excluding Honor,Silent Vision,Action,1991,PG-13,108,71,93,21,620,31.7975,-110.8356,Arizona
A Lake Into Honor,Sound Circle,Horror,2007,PG-13,91,7,54,30,1289,32.731,-81.61761,Georgia
A Floor Following Science,Minute Sand,Mystery,2012,G,81,34,35,57,309,42.9536,-74.37201,New York
The Face Versus Rhythm,Sure Way,Action,1981,R,78,32,91,84,741,40.33174,-79.84477,Pennsylvania
A Cat Considering Wealth,Solar Scratch,Thriller,1980,PG-13,86,75,54,68,1433,44.03508,-69.53671,Maine
A Train Over Hunger,Kind Soldier,Action,2002,PG,103,70,91,22,102,34.3428,-112.3581,Arizona
A Leg Past Pride,Sure Way,Thriller,1987,PG-13,116,76,98,53,1948,44.0694,-115.5366,Idaho
The Blade Around Space,Solar Scratch,Drama,1986,R,88,3,1,26,2102,36.9878,-93.5699,Missouri
The Airplane From Honor,Yellow Dinner,Mystery,2018,R,106,57,62,76,914,39.51816,-76.30274,Maryland
The Valley Considering Thought,Final Cost,Documentary,1991,R,106,80,96,56,1640,37.1821,-95.6209,Kansas
The Helicopter Into Riches,Yellow Dinner,Drama,1982,G,88,82,98,9,1110,30.1149,-95.7557,Texas
A Tree At Calm,Papersoft,Thriller,2018,G,69,93,56,55,1179,36.84209,-76.01299,Virginia
The Fruit Without Loss,Sound Circle,Comedy,1975,PG,106,23,94,57,470,35.53232,-83.48655,North Carolina
An Alien Per Truth,Somehow Here,Thriller,2009,G,102,8,7,4,996,47.2924,-107.7954,Montana
A Window Per Loyalty,Kind Soldier,Comedy,1994,PG-13,98,0,90,49,1268,39.0388,-118.6659,Nevada
The Thief Of Success,Huge Fish,Horror,2007,G,112,69,46,75,49,35.64868,-88.14893,Tennessee
The Blade Given Clarity,Minute Sand,Comedy,1977,PG,66,17,93,92,2329,46.6650,-107.0514,Montana
A World Among Luxury,Light Box,Horror,2000,G,91,13,49,66,2919,32.1768,-112.6301,Arizona
A Boy As Hunger,Empty Mind,Fantasy,2018,R,106,6,39,31,2223,40.1817,-86.36389,Indiana
The Shoe Concerning Worry,Sure Way,Documentary,1994,G,79,85,58,4,1434,44.6207,-115.0355,Idaho
The Lake Underneath Heaven,Kind Soldier,Drama,1994,G,102,5,53,73,2642,32.9382,-97.1696,Texas
A Thief Above Health,Kind Soldier,Mystery,1995,G,117,67,72,35,605,20.2851,-156.2278,Hawaii
The Man Despite Science,Empty Mind,Action,2004,G,75,15,40,46,1308,35.97673,-88.64145,Tennessee
A Window Beneath Sight,Runaway Vehicle,Comedy,2014,R,63,8,21,40,1615,35.6963,-93.7334,Arkansas
An Atmosphere Like Despair,Huge Fish,Science Fiction,2008,R,103,4,48,91,2027,44.78227,-71.55425,Quebec
The Pencil Despite Poverty,Silent Vision,Science Fiction,2009,PG,119,74,85,46,2636,34.97398,-83.45599,North Carolina
The Shoe For Freedom,Final Cost,Musical,2009,PG,96,35,47,15,1969,34.39072,-78.24444,North Carolina
A Wall Outside War,Kind Soldier,Documentary,1982,R,113,58,81,65,951,31.2965,-111.2862,Arizona
A Glacier Of Fear,Yellow Dinner,Comedy,2009,G,108,42,96,41,60,35.75071,-78.77584,North Carolina
The Finger Through Decay,Fading Shrimp,Drama,1987,PG,115,95,47,80,1898,45.9234,-92.1842,Wisconsin
A Child About Disrespect,Final Cost,Romance,1991,PG,109,20,22,48,1554,41.51394,-85.98111,Indiana
A Valley Given Hate,Pulling Sally,Drama,1987,PG,61,92,41,61,485,39.3062,-90.2391,Illinois
A Book With Hell,Yellow Dinner,Comedy,2000,PG,118,8,73,56,2734,37.88263,-79.38365,Virginia
A Bug Beyond Freedom,Silent Vision,Action,2010,PG-13,66,18,22,0,2375,47.6200,-94.6402,Minnesota
The Flower Opposite Dishonesty,Pulling Sally,Horror,1983,R,100,63,9,67,3,42.7728,-121.7667,Oregon
An Airplane Across Dishonesty,Papersoft,Action,1983,R,102,80,53,68,1183,40.0190,-97.0105,Nebraska
The Window Under Sight,Minute Sand,Musical,1986,R,60,14,12,85,2590,36.1502,-97.0345,Oklahoma
The Bear Of Decay,Papersoft,Comedy,1994,R,113,70,35,69,488,37.50927,-82.5396,Kentucky
A Clown Through Loyalty,Silent Vision,Fantasy,2000,PG,63,5,99,38,2161,28.50277,-82.58871,Florida
A Lake Underneath Happiness,Empty Mind,Comedy,2014,R,82,88,4,95,954,33.9783,-111.6462,Arizona
A Boy During Pride,Pulling Sally,Romance,2012,PG-13,77,49,0,50,2411,44.5253,-105.0539,Wyoming
A Robot Past Hope,Kind Soldier,Musical,1982,PG-13,95,47,30,13,1193,39.68815,-77.75249,Maryland
A Face Inside Rhythm,Course Universe,Mystery,1995,R,119,87,9,77,1215,40.3104,-91.8942,Iowa
The Robot On Fact,Fading Shrimp,Thriller,1998,R,92,14,47,40,2172,36.41078,-79.34038,North Carolina
The Road Excepting Strength,Empty Mind,Action,1979,R,67,58,84,87,2553,35.1076,-112.0904,Arizona
The Soul Underneath Speed,Huge Fish,Comedy,2017,PG-13,83,58,43,9,2617,41.92261,-70.04947,Massachusetts
The Air Amid Feeling,Papersoft,Documentary,2000,PG-13,90,33,6,27,1737,41.5743,-98.0297,Nebraska
A Floor Barring Freedom,Pulling Sally,Action,1986,PG,63,51,85,95,705,27.9213,-98.0460,Texas
The Diamond Between Wealth,Sure Way,Mystery,1976,G,83,88,1,34,1487,29.8472,-91.8125,Louisiana
A Boy Unlike Sight,Sound Circle,Thriller,2009,R,86,70,19,35,1019,39.9146,-93.6566,Missouri
The Airplane Given Loss,Empty Mind,Action,1979,PG-13,73,48,56,89,2932,30.6555,-97.5062,Texas
A Man Regarding Sight,Sure Way,Science Fiction,2006,G,60,2,74,31,230,46.3501,-123.1798,Washington
The Finger Via Worry,Sound Circle,Musical,1994,R,80,80,44,86,91,40.84232,-73.02594,New York
The Bear Against Hunger,Sure Way,Drama,1985,PG-13,77,3,87,7,2191,35.53232,-83.48655,North Carolina
