title,company,genre,year,rating,length,critic_score,number_of_critics,user_score,number_of_users,latitude,longitude,state_filmed
The Boy But Calm,Course Universe,Horror,2017,R,96,55,1459,24,2249,39.36726,-76.71556,Maryland
A Cat Toward Calm,Somehow Here,Action,2016,PG-13,95,43,2343,59,2217,33.32373,-87.97891,Alabama
The Wall To Pain,Huge Fish,Romance,1993,PG,84,63,2076,27,1839,38.3291,-121.8305,California
The Alien About Clarity,Silent Vision,Science Fiction,2011,PG,95,48,1850,23,1624,30.0442,-98.0762,Texas
A Soldier Onto Thought,Silent Vision,Horror,2002,G,99,27,361,80,1603,45.3878,-122.7484,Oregon
The Flower For Pain,Minute Sand,Romance,1974,PG-13,102,61,1586,73,1837,46.5673,-113.1396,Montana
The Rocket Regarding Patience,Sure Way,Comedy,1992,PG-13,115,49,1916,56,2571,40.6043,-109.6797,Utah
The Soul With Fragility,Runaway Vehicle,Horror,1999,R,93,49,699,52,1711,40.71403,-74.00283,New York
The Airplane Opposite Strength,Minute Sand,Action,1994,R,69,67,1119,59,417,45.4158,-107.8979,Montana
The Blade Except Rhythm,Minute Sand,Science Fiction,2023,R,97,19,993,13,1235,35.0362,-105.0977,New Mexico
The Leg Unlike Hope,Final Cost,Horror,2015,R,103,53,822,48,1692,46.5908,-115.6210,Idaho
A Tree Via Life,Pulling Sally,Comedy,2007,PG-13,92,25,1062,42,2284,30.24355,-83.23625,Florida
The Cow Beyond Love,Course Universe,Fantasy,2018,R,86,44,464,31,1694,33.42667,-86.11111,Alabama
The Mouth Excluding Life,Huge Fish,Horror,2023,PG-13,105,48,2079,45,809,39.8213,-110.6063,Utah
A Flower Beyond Fear,Silent Vision,Musical,1985,R,92,41,1549,30,2638,33.6051,-91.5973,Arkansas
The Thief Regarding Patience,Sure Way,Horror,2006,PG,112,76,190,80,2244,33.64122,-87.95863,Alabama
A Couch Barring Comfort,Minute Sand,Comedy,1999,PG,69,11,1579,23,586,36.9737,-82.98738,Virginia
A Chair Of Hell,Silent Vision,Comedy,1979,PG-13,90,42,1751,68,2496,38.2043,-117.6696,Nevada
A Diamond Off Loss,Course Universe,Comedy,2011,PG,89,71,1040,27,649,42.3102,-92.2986,Iowa
A Shoe Plus Control,Silent Vision,Action,1985,R,100,82,853,46,897,39.02844,-77.04053,Maryland
An Alien Regarding Rhythm,Final Cost,Fantasy,1992,R,82,69,1403,17,672,41.77145,-79.90978,Pennsylvania
A Lake Except Happiness,Pulling Sally,Thriller,2004,G,84,50,974,54,923,38.3789,-106.7713,Colorado
The Leg Excluding Riches,Pulling Sally,Fantasy,1984,G,67,57,2166,72,1877,40.6315,-112.3592,Utah
A Thing Following Rhythm,Silent Vision,Documentary,1981,R,65,45,2320,41,2350,43.20785,-72.7801,Vermont
The Valley With Rhythm,Silent Vision,Action,1996,R,99,58,2269,92,2553,27.7131,-97.1561,Texas
A Dog Per Time,Huge Fish,Horror,1975,R,87,56,2041,50,1115,31.2845,-94.6911,Texas
A Couch Concerning Thought,Runaway Vehicle,Drama,1988,R,100,53,977,48,2162,30.50214,-87.9036,Alabama
The Cloud Except Reality,Huge Fish,Science Fiction,2004,PG,94,24,751,71,1290,35.2972,-92.3991,Arkansas
A Pencil Following Comfort,Silent Vision,Action,2003,PG-13,87,37,2047,31,971,37.0550,-121.8860,California
A Floor Underneath Calm,Fading Shrimp,Musical,1990,PG-13,94,47,1659,32,1421,39.8244,-115.5167,{}
A Nose Among Time,Silent Vision,Comedy,1988,R,93,44,2248,17,1609,43.6828,-100.7294,South Dakota
The Glacier Regarding Disrespect,Fading Shrimp,Thriller,2022,R,106,60,679,68,1743,32.8295,-105.3920,New Mexico
The World Considering Luxury,Kind Soldier,Science Fiction,2001,PG-13,66,42,1767,30,2228,42.8990,-119.7432,Oregon
The Couch From Freedom,Pulling Sally,Drama,1998,R,92,44,1518,66,2407,35.2595,-92.3362,Arkansas
A Face After Feeling,Huge Fish,Drama,2011,PG,94,29,1693,47,1576,43.8055,-118.0115,Oregon
A Man Aboard Control,Course Universe,Documentary,1989,R,78,39,1749,40,2332,37.50927,-82.5396,Kentucky
A Bear Onto Loss,Minute Sand,Drama,2010,PG,81,62,1860,90,983,42.1953,-88.28897,Illinois
The Floor Regarding Success,Final Cost,Horror,2007,R,98,56,1588,73,2040,38.9343,-96.9661,Kansas
An Atmosphere Versus Calm,Runaway Vehicle,Science Fiction,1991,R,83,88,831,38,2121,45.1364,-93.5270,Minnesota
A Bird Excepting Pain,Silent Vision,Comedy,2004,PG-13,111,16,1915,62,1970,43.0038,-103.1850,South Dakota
The Book Over Love,Empty Mind,Science Fiction,1992,R,77,31,887,54,2129,39.9270,-123.8233,California
The Road During Love,Light Box,Drama,2002,PG-13,87,71,1629,60,1447,36.2972,-111.3276,Arizona
A Tree Upon Poverty,Sure Way,Fantasy,2000,R,76,52,954,50,1646,45.0163,-118.9639,Oregon
A Shoe In Happiness,Runaway Vehicle,Horror,2021,R,85,42,1407,82,1572,42.1394,-115.1274,Idaho
The Valley Onto Consistency,Huge Fish,Horror,1994,R,94,79,664,73,881,46.1431,-106.3361,Montana
A Helicopter Including Feeling,Silent Vision,Romance,2004,G,68,17,1446,23,2050,40.6206,-100.2123,Nebraska
An Atmosphere Like Wisdom,Papersoft,Romance,1988,PG,77,50,1796,26,1817,34.5478,-118.3955,California
A Shoe Plus Hate,Pulling Sally,Horror,1999,R,114,62,1658,53,1209,33.99316,-85.05939,Georgia
The Blade Beside Happiness,Yellow Dinner,Action,2018,PG,96,90,920,72,482,29.73493,-84.89991,Florida
A Box Across Touch,Final Cost,Science Fiction,2020,PG,90,59,1561,7,1889,32.7086,-117.1388,California
An Atmosphere Below Dishonesty,Huge Fish,Comedy,1990,PG,76,70,2369,50,1994,33.79427,-87.80141,Alabama
The Door Toward Control,Sound Circle,Science Fiction,2023,PG-13,92,12,2509,78,1107,37.4757,-97.1495,Kansas
A World Within Strength,Huge Fish,Musical,2009,R,98,67,1815,52,1276,41.4746,-109.1195,Wyoming
A Child Excepting Disrespect,Papersoft,Comedy,1981,PG-13,79,79,1731,61,1216,33.7453,-103.4321,New Mexico
The Mountain Upon Respect,Runaway Vehicle,Thriller,1998,R,80,59,1846,68,798,29.8892,-90.2890,Louisiana
The Girl Across Loyalty,Fading Shrimp,Action,1998,R,108,14,599,55,1652,30.4138,-94.3013,Texas
A Floor Off Death,Minute Sand,Science Fiction,2017,PG,91,58,1476,48,2743,40.8230,-93.7131,Iowa
The Bed Given Rhythm,Huge Fish,Romance,1994,PG-13,74,41,1179,49,1189,34.1651,-91.2094,Arkansas
The Lake Against Death,Course Universe,Thriller,2007,PG-13,73,60,1287,68,634,68.5351,-152.9395,Alaska
A Blade Before Pain,Sure Way,Thriller,2011,R,69,72,1258,67,1176,30.27187,-82.12978,Florida
The Nose To Reality,Runaway Vehicle,Science Fiction,2005,R,95,51,353,43,1679,46.5082,-111.4585,Montana
The Soul Between Health,Yellow Dinner,Horror,1977,PG-13,95,21,1654,69,1744,37.65151,-80.75425,West Virginia
